modelo,ano_limite_treino,linhas_treino,linhas_teste,threshold_binario,r2,mae,rmse,mse,accuracy,precision,recall,f1,cm_tn,cm_fp,cm_fn,cm_tp,positivos_reais,positivos_preditos
Media historica do treino,2018,199429,111328,0.5,-0.0049005190138706745,0.24287596943926984,0.28620718793423566,0.08191455442522289,0.7167199626329405,0.7167199626329405,1.0,0.8349876255108074,0,31537,0,79791,79791,111328
Persistencia evasao_t,2018,199429,111328,0.5,-0.05592859721735444,0.19672029715887274,0.2933838998989621,0.0860741127199242,0.7432002730669732,0.8372546436569622,0.7965309370731035,0.816385251218682,19183,12354,16235,63556,79791,75910
Regressao Linear,2018,199429,111328,0.5,0.15952747342056384,0.21721816008976597,0.26174642714226354,0.06851119212174028,0.7378557056625467,0.7388091395566125,0.9810880926420273,0.8428839072291492,3862,27675,1509,78282,79791,105957
Random Forest,2018,199429,111328,0.5,0.3337047249133319,0.1778456230862687,0.2330517498461937,0.05431311810637285,0.740415708536936,0.8094641597548221,0.8341667606622301,0.8216298289685651,15870,15667,13232,66559,79791,82226
